date,open,high,low,close,volume
object,float64,float64,float64,float64,int64
2012-11-06 00:00,1.59753,1.59974,1.59602,1.59833,99182
2012-11-07 00:00,1.59831,1.60418,1.59538,1.59731,137591
2012-11-08 00:00,1.59734,1.60045,1.59286,1.59765,116170
2012-11-09 00:00,1.59764,1.60188,1.59019,1.59107,121412
2012-11-10 00:00,1.59109,1.59189,1.58874,1.58933,19108
2012-11-12 00:00,1.59006,1.59144,1.58637,1.58686,63252
2012-11-13 00:00,1.58686,1.59149,1.58568,1.58837,106747
2012-11-14 00:00,1.58837,1.59008,1.58387,1.58468,111133
2012-11-15 00:00,1.58466,1.58788,1.58267,1.58635,118343
2012-11-16 00:00,1.58631,1.5893,1.58352,1.5864,104259
2012-11-17 00:00,1.58639,1.59005,1.58558,1.58775,21512
2012-11-19 00:00,1.58861,1.59229,1.58817,1.59071,80189
2012-11-20 00:00,1.5907,1.59356,1.5891,1.59252,100187
2012-11-21 00:00,1.59252,1.59479,1.58823,1.59341,109193
2012-11-22 00:00,1.59342,1.59779,1.59257,1.59288,82947
2012-11-23 00:00,1.5929,1.60342,1.59183,1.60304,93165
2012-11-24 00:00,1.60304,1.60507,1.60253,1.60263,14284
2012-11-26 00:00,1.60321,1.60372,1.5996,1.60129,77664
2012-11-27 00:00,1.60129,1.60558,1.60082,1.6026,108697
2012-11-28 00:00,1.60264,1.60289,1.59618,1.59958,114219
2012-11-29 00:00,1.59958,1.60477,1.59922,1.6024,119930
2012-11-30 00:00,1.60245,1.6062,1.59885,1.60257,121688
2012-12-01 00:00,1.60257,1.6033,1.60058,1.60073,18055
2012-12-03 00:00,1.60172,1.61026,1.60123,1.61022,83672
2012-12-04 00:00,1.61021,1.61305,1.6084,1.60956,94721
2012-12-05 00:00,1.60955,1.61177,1.60814,1.61004,107724
2012-12-06 00:00,1.61004,1.61275,1.60612,1.60646,107840
2012-12-07 00:00,1.60646,1.60679,1.60019,1.60296,118511
2012-12-08 00:00,1.60297,1.6043,1.60285,1.60347,11476
2012-12-10 00:00,1.60367,1.60959,1.60135,1.60671,73300
2012-12-11 00:00,1.60669,1.61217,1.6066,1.61016,87525
2012-12-12 00:00,1.61018,1.61483,1.60949,1.61304,90371
2012-12-13 00:00,1.61304,1.61714,1.61101,1.61285,120117
2012-12-14 00:00,1.61287,1.61473,1.60837,1.61373,108898
2012-12-15 00:00,1.61373,1.61771,1.61369,1.61722,19001
2012-12-17 00:00,1.61671,1.62159,1.61571,1.62017,96329
2012-12-18 00:00,1.62017,1.62689,1.61927,1.62531,105016
2012-12-19 00:00,1.62531,1.63061,1.62443,1.62646,118155
2012-12-20 00:00,1.62648,1.62957,1.62375,1.62664,124482
2012-12-21 00:00,1.62662,1.6289,1.61516,1.61661,142334
2012-12-22 00:00,1.6166,1.61726,1.61546,1.61684,20284
2012-12-24 00:00,1.6152,1.62057,1.61006,1.61111,74596
2012-12-25 00:00,1.61112,1.61418,1.61079,1.61278,21423
2012-12-26 00:00,1.61288,1.61707,1.61084,1.6117,57054
